EP, 08, 2006073012,   , MIWU, 0, 114N, 1004W,  15, 1012, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Gilma,
EP, 08, 2006073018,   , MIWU, 0, 113N, 1009W,  15, 1012, DB,
EP, 08, 2006073100,   , MIWU, 0, 114N, 1013W,  20, 1011, DB,
EP, 08, 2006073106,   , MIWU, 0, 116N, 1019W,  25, 1010, TD,
EP, 08, 2006073112,   , MIWU, 0, 119N, 1026W,  30, 1008, TD,
EP, 08, 2006073118,   , MIWU, 0, 122N, 1033W,  35, 1006, TS,
EP, 08, 2006080100,   , MIWU, 0, 126N, 1040W,  35, 1005, TS,
EP, 08, 2006080106,   , MIWU, 0, 132N, 1046W,  40, 1003, TS,
EP, 08, 2006080112,   , MIWU, 0, 138N, 1051W,  40, 1003, TS,
EP, 08, 2006080118,   , MIWU, 0, 142N, 1055W,  40, 1002, TS,
EP, 08, 2006080200,   , MIWU, 0, 144N, 1057W,  35, 1004, TS,
EP, 08, 2006080206,   , MIWU, 0, 145N, 1059W,  30, 1006, TD,
EP, 08, 2006080212,   , MIWU, 0, 146N, 1062W,  30, 1006, TD,
EP, 08, 2006080218,   , MIWU, 0, 148N, 1067W,  35, 1004, TS,
EP, 08, 2006080300,   , MIWU, 0, 152N, 1073W,  35, 1004, TS,
EP, 08, 2006080306,   , MIWU, 0, 156N, 1080W,  30, 1006, TD,
EP, 08, 2006080312,   , MIWU, 0, 159N, 1087W,  25, 1008, TD,
EP, 08, 2006080318,   , MIWU, 0, 158N, 1095W,  20, 1010, DB,
EP, 08, 2006080400,   , MIWU, 0, 160N, 1101W,  15, 1012, DB,
EP, 08, 2006080406,   , MIWU, 0, 167N, 1106W,  15, 1011, DB,
EP, 08, 2006080412,   , MIWU, 0, 172N, 1114W,  15, 1011, DB,
EP, 08, 2006080418,   , MIWU, 0, 178N, 1119W,  15, 1012, DB,
EP, 08, 2006080500,   , MIWU, 0, 180N, 1123W,  15, 1012, DB,
EP, 08, 2006080506,   , MIWU, 0, 181N, 1126W,  15, 1012, DB,
EP, 08, 2006080512,   , MIWU, 0, 180N, 1128W,  15, 1012, DB,
