EP, 05, 2022070800, , MIWU, 0, 118N, 1013W,  20, 1010, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Darby,
EP, 05, 2022070806, , MIWU, 0, 121N, 1026W,  20, 1010, DB,
EP, 05, 2022070812, , MIWU, 0, 124N, 1043W,  20, 1009, DB,
EP, 05, 2022070818, , MIWU, 0, 126N, 1060W,  20, 1007, DB,
EP, 05, 2022070900, , MIWU, 0, 127N, 1078W,  25, 1005, TD,
EP, 05, 2022070906, , MIWU, 0, 129N, 1092W,  30, 1004, TD,
EP, 05, 2022070912, , MIWU, 0, 136N, 1110W,  40, 1000, TS,
EP, 05, 2022070918, , MIWU, 0, 140N, 1128W,  50,  997, TS,
EP, 05, 2022071000, , MIWU, 0, 142N, 1142W,  50,  996, TS,
EP, 05, 2022071006, , MIWU, 0, 142N, 1155W,  45,  998, TS,
EP, 05, 2022071012, , MIWU, 0, 143N, 1169W,  45,  997, TS,
EP, 05, 2022071018, , MIWU, 0, 144N, 1184W,  50,  995, TS,
EP, 05, 2022071100, , MIWU, 0, 145N, 1200W,  65,  989, HU,
EP, 05, 2022071106, , MIWU, 0, 145N, 1213W,  90,  974, HU,
EP, 05, 2022071112, , MIWU, 0, 145N, 1228W, 105,  965, HU,
EP, 05, 2022071118, , MIWU, 0, 146N, 1243W, 120,  953, HU,
EP, 05, 2022071121, , MIWU, 0, 147N, 1253W, 130,  947, HU,
EP, 05, 2022071200, , MIWU, 0, 148N, 1259W, 125,  949, HU,
EP, 05, 2022071206, , MIWU, 0, 148N, 1274W, 115,  954, HU,
EP, 05, 2022071212, , MIWU, 0, 148N, 1289W, 105,  960, HU,
EP, 05, 2022071218, , MIWU, 0, 147N, 1305W, 105,  961, HU,
EP, 05, 2022071300, , MIWU, 0, 146N, 1319W, 100,  965, HU,
EP, 05, 2022071306, , MIWU, 0, 146N, 1333W,  90,  973, HU,
EP, 05, 2022071312, , MIWU, 0, 148N, 1348W,  95,  970, HU,
EP, 05, 2022071318, , MIWU, 0, 152N, 1361W, 105,  964, HU,
EP, 05, 2022071400, , MIWU, 0, 157N, 1376W, 105,  965, HU,
EP, 05, 2022071406, , MIWU, 0, 160N, 1389W, 100,  969, HU,
EP, 05, 2022071412, , MIWU, 0, 164N, 1402W,  95,  973, HU,
EP, 05, 2022071418, , MIWU, 0, 168N, 1413W,  85,  981, HU,
EP, 05, 2022071500, , MIWU, 0, 172N, 1426W,  75,  987, HU,
EP, 05, 2022071506, , MIWU, 0, 174N, 1438W,  65,  991, HU,
EP, 05, 2022071512, , MIWU, 0, 175N, 1452W,  55,  995, TS,
EP, 05, 2022071518, , MIWU, 0, 176N, 1468W,  45,  999, TS,
EP, 05, 2022071600, , MIWU, 0, 177N, 1484W,  40, 1001, TS,
EP, 05, 2022071606, , MIWU, 0, 176N, 1503W,  35, 1003, TS,
EP, 05, 2022071612, , MIWU, 0, 176N, 1524W,  35, 1003, TS,
EP, 05, 2022071618, , MIWU, 0, 177N, 1545W,  35, 1004, TS,
EP, 05, 2022071700, , MIWU, 0, 178N, 1567W,  30, 1006, WV,
EP, 05, 2022071706, , MIWU, 0, 179N, 1586W,  25, 1008, WV,
EP, 05, 2022071712, , MIWU, 0, 181N, 1607W,  20, 1010, WV,
EP, 05, 2022071718, , MIWU, 0, 184N, 1624W,  20, 1010, WV,
EP, 05, 2022071800, , MIWU, 0, 188N, 1640W,  20, 1010, WV,
EP, 05, 2022071806, , MIWU, 0, 195N, 1654W,  15, 1012, WV,
EP, 05, 2022071812, , MIWU, 0, 201N, 1668W,  15, 1013, WV,
