EP, 14, 2022091412, , MIWU, 0, 158N, 1082W,  20, 1007, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Madeline,
EP, 14, 2022091418, , MIWU, 0, 156N, 1080W,  20, 1007, DB,
EP, 14, 2022091500, , MIWU, 0, 152N, 1077W,  20, 1007, DB,
EP, 14, 2022091506, , MIWU, 0, 150N, 1073W,  20, 1007, DB,
EP, 14, 2022091512, , MIWU, 0, 150N, 1069W,  20, 1006, DB,
EP, 14, 2022091518, , MIWU, 0, 150N, 1067W,  20, 1006, DB,
EP, 14, 2022091600, , MIWU, 0, 149N, 1068W,  25, 1004, TD,
EP, 14, 2022091606, , MIWU, 0, 148N, 1069W,  25, 1004, TD,
EP, 14, 2022091612, , MIWU, 0, 148N, 1071W,  25, 1004, TD,
EP, 14, 2022091618, , MIWU, 0, 149N, 1070W,  30, 1002, TD,
EP, 14, 2022091700, , MIWU, 0, 150N, 1068W,  30, 1001, TD,
EP, 14, 2022091706, , MIWU, 0, 151N, 1067W,  35,  999, TS,
EP, 14, 2022091712, , MIWU, 0, 154N, 1067W,  35,  998, TS,
EP, 14, 2022091718, , MIWU, 0, 157N, 1068W,  35,  998, TS,
EP, 14, 2022091800, , MIWU, 0, 162N, 1069W,  35,  998, TS,
EP, 14, 2022091806, , MIWU, 0, 168N, 1070W,  40,  996, TS,
EP, 14, 2022091812, , MIWU, 0, 174N, 1071W,  40,  996, TS,
EP, 14, 2022091818, , MIWU, 0, 182N, 1072W,  40,  995, TS,
EP, 14, 2022091900, , MIWU, 0, 190N, 1075W,  45,  993, TS,
EP, 14, 2022091906, , MIWU, 0, 198N, 1080W,  50,  991, TS,
EP, 14, 2022091912, , MIWU, 0, 205N, 1088W,  55,  989, TS,
EP, 14, 2022091918, , MIWU, 0, 208N, 1096W,  55,  990, TS,
EP, 14, 2022092000, , MIWU, 0, 209N, 1103W,  45,  994, TS,
EP, 14, 2022092006, , MIWU, 0, 210N, 1109W,  35,  998, TS,
EP, 14, 2022092012, , MIWU, 0, 211N, 1115W,  25, 1002, TD,
EP, 14, 2022092018, , MIWU, 0, 212N, 1121W,  25, 1002, TD,
EP, 14, 2022092100, , MIWU, 0, 214N, 1127W,  25, 1003, LO,
EP, 14, 2022092106, , MIWU, 0, 216N, 1135W,  25, 1003, LO,
EP, 14, 2022092112, , MIWU, 0, 218N, 1143W,  25, 1003, LO,
EP, 14, 2022092118, , MIWU, 0, 219N, 1151W,  20, 1005, LO,
EP, 14, 2022092200, , MIWU, 0, 219N, 1157W,  20, 1005, LO,
EP, 14, 2022092206, , MIWU, 0, 218N, 1164W,  20, 1005, LO,
EP, 14, 2022092212, , MIWU, 0, 217N, 1172W,  20, 1005, LO,
EP, 14, 2022092218, , MIWU, 0, 216N, 1179W,  20, 1006, LO,
EP, 14, 2022092300, , MIWU, 0, 216N, 1188W,  20, 1006, LO,
EP, 14, 2022092306, , MIWU, 0, 215N, 1196W,  20, 1006, LO,
EP, 14, 2022092312, , MIWU, 0, 214N, 1206W,  20, 1006, LO,
EP, 14, 2022092318, , MIWU, 0, 212N, 1217W,  20, 1006, LO,
EP, 14, 2022092400, , MIWU, 0, 209N, 1229W,  20, 1006, LO,
EP, 14, 2022092406, , MIWU, 0, 206N, 1241W,  15, 1008, LO,
EP, 14, 2022092412, , MIWU, 0, 203N, 1252W,  15, 1008, LO,
EP, 14, 2022092418, , MIWU, 0, 200N, 1261W,  15, 1008, LO,
EP, 14, 2022092500, , MIWU, 0, 201N, 1270W,  15, 1009, LO,
EP, 14, 2022092506, , MIWU, 0, 203N, 1280W,  15, 1009, LO,
EP, 14, 2022092512, , MIWU, 0, 204N, 1290W,  15, 1009, LO,
