EP, 01, 2022052618, , MIWU, 0, 123N,  944W,  20, 1011, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Agatha,
EP, 01, 2022052700, , MIWU, 0, 126N,  950W,  20, 1010, DB,
EP, 01, 2022052706, , MIWU, 0, 128N,  959W,  20, 1010, DB,
EP, 01, 2022052712, , MIWU, 0, 127N,  967W,  25, 1008, TD,
EP, 01, 2022052718, , MIWU, 0, 125N,  974W,  25, 1008, TD,
EP, 01, 2022052800, , MIWU, 0, 126N,  978W,  30, 1006, TD,
EP, 01, 2022052806, , MIWU, 0, 128N,  980W,  40, 1004, TS,
EP, 01, 2022052812, , MIWU, 0, 130N,  981W,  45, 1002, TS,
EP, 01, 2022052818, , MIWU, 0, 132N,  983W,  50,  999, TS,
EP, 01, 2022052900, , MIWU, 0, 135N,  986W,  60,  992, TS,
EP, 01, 2022052906, , MIWU, 0, 137N,  990W,  70,  982, HU,
EP, 01, 2022052912, , MIWU, 0, 140N,  990W,  80,  972, HU,
EP, 01, 2022052918, , MIWU, 0, 141N,  988W,  95,  963, HU,
EP, 01, 2022052920, , MIWU, 0, 141N,  987W,  95,  962, HU,
EP, 01, 2022053000, , MIWU, 0, 143N,  984W,  90,  967, HU,
EP, 01, 2022053006, , MIWU, 0, 146N,  980W,  80,  977, HU,
EP, 01, 2022053012, , MIWU, 0, 149N,  975W,  80,  977, HU,
EP, 01, 2022053018, , MIWU, 0, 155N,  969W,  85,  974, HU,
EP, 01, 2022053100, , MIWU, 0, 160N,  963W,  65,  985, HU,
EP, 01, 2022053106, , MIWU, 0, 166N,  956W,  45,  995, TS,
EP, 01, 2022053112, , MIWU, 0, 172N,  951W,  30, 1000, TD,
EP, 01, 2022053118, , MIWU, 0, 178N,  946W,  20, 1004, DB,
EP, 01, 2022060100, , MIWU, 0, 182N,  942W,  10, 1008, DB,
