WP, 14, 2006090806,   , MIWU, 0, 139N, 1401E,  20, 1011, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Shanshan,
WP, 14, 2006090812,   , MIWU, 0, 140N, 1396E,  20, 1011, DB,
WP, 14, 2006090818,   , MIWU, 0, 138N, 1391E,  20, 1010, DB,
WP, 14, 2006090900,   , MIWU, 0, 137N, 1386E,  25, 1008, TD,
WP, 14, 2006090906,   , MIWU, 0, 139N, 1380E,  30, 1006, TD,
WP, 14, 2006090912,   , MIWU, 0, 143N, 1373E,  35, 1004, TS,
WP, 14, 2006090918,   , MIWU, 0, 148N, 1366E,  40, 1002, TS,
WP, 14, 2006091000,   , MIWU, 0, 157N, 1358E,  40, 1001, TS,
WP, 14, 2006091006,   , MIWU, 0, 164N, 1351E,  45,  998, TS,
WP, 14, 2006091012,   , MIWU, 0, 170N, 1347E,  50,  995, TS,
WP, 14, 2006091018,   , MIWU, 0, 175N, 1343E,  60,  989, TS,
WP, 14, 2006091100,   , MIWU, 0, 180N, 1340E,  65,  986, TY,
WP, 14, 2006091106,   , MIWU, 0, 185N, 1335E,  70,  983, TY,
WP, 14, 2006091112,   , MIWU, 0, 190N, 1330E,  80,  977, TY,
WP, 14, 2006091118,   , MIWU, 0, 193N, 1325E,  90,  971, TY,
WP, 14, 2006091200,   , MIWU, 0, 195N, 1321E, 110,  959, TY,
WP, 14, 2006091206,   , MIWU, 0, 197N, 1315E, 105,  961, TY,
WP, 14, 2006091212,   , MIWU, 0, 199N, 1308E,  95,  965, TY,
WP, 14, 2006091218,   , MIWU, 0, 200N, 1300E,  95,  966, TY,
WP, 14, 2006091300,   , MIWU, 0, 201N, 1290E,  90,  968, TY,
WP, 14, 2006091306,   , MIWU, 0, 202N, 1282E,  85,  970, TY,
WP, 14, 2006091312,   , MIWU, 0, 202N, 1275E,  80,  972, TY,
WP, 14, 2006091318,   , MIWU, 0, 201N, 1267E,  75,  974, TY,
WP, 14, 2006091400,   , MIWU, 0, 200N, 1260E,  70,  976, TY,
WP, 14, 2006091406,   , MIWU, 0, 202N, 1255E,  75,  973, TY,
WP, 14, 2006091412,   , MIWU, 0, 205N, 1250E,  80,  969, TY,
WP, 14, 2006091418,   , MIWU, 0, 209N, 1245E, 100,  950, TY,
WP, 14, 2006091500,   , MIWU, 0, 215N, 1242E, 110,  940, TY,
WP, 14, 2006091506,   , MIWU, 0, 222N, 1240E, 120,  930, TY,
WP, 14, 2006091512,   , MIWU, 0, 232N, 1238E, 130,  922, ST,
WP, 14, 2006091518,   , MIWU, 0, 240N, 1238E, 130,  922, ST,
WP, 14, 2006091600,   , MIWU, 0, 248N, 1241E, 125,  926, TY,
WP, 14, 2006091606,   , MIWU, 0, 259N, 1247E, 120,  929, TY,
WP, 14, 2006091612,   , MIWU, 0, 272N, 1259E, 115,  932, TY,
WP, 14, 2006091618,   , MIWU, 0, 284N, 1270E, 105,  938, TY,
WP, 14, 2006091700,   , MIWU, 0, 303N, 1280E,  95,  946, TY,
WP, 14, 2006091706,   , MIWU, 0, 322N, 1290E,  80,  958, TY,
WP, 14, 2006091712,   , MIWU, 0, 340N, 1302E,  70,  966, TY,
WP, 14, 2006091718,   , MIWU, 0, 355N, 1315E,  60,  972, TS,
WP, 14, 2006091800,   , MIWU, 0, 367N, 1324E,  55,  975, EX,
WP, 14, 2006091806,   , MIWU, 0, 385N, 1335E,  50,  978, EX,
WP, 14, 2006091812,   , MIWU, 0, 399N, 1346E,  45,  981, EX,
WP, 14, 2006091818,   , MIWU, 0, 412N, 1355E,  40,  984, EX,
WP, 14, 2006091900,   , MIWU, 0, 418N, 1362E,  35,  987, EX,
WP, 14, 2006091906,   , MIWU, 0, 425N, 1371E,  35,  988, EX,
WP, 14, 2006091912,   , MIWU, 0, 426N, 1383E,  35,  989, EX,
WP, 14, 2006091918,   , MIWU, 0, 425N, 1396E,  30,  992, EX,
WP, 14, 2006092000,   , MIWU, 0, 423N, 1412E,  20,  998, EX,
