CP, 01, 2006090618,   , MIWU, 0, 518N, 1668E,  55,  973, EX,
CP, 01, 2006090700,   , MIWU, 0, 539N, 1705E,  60,  969, EX,
CP, 01, 2006090706,   , MIWU, 0, 550N, 1759E,  70,  961, EX,
CP, 01, 2006090712,   , MIWU, 0, 558N, 1788W,  70,  963, EX,
CP, 01, 2006090718,   , MIWU, 0, 557N, 1734W,  65,  966, EX,
CP, 01, 2006090800,   , MIWU, 0, 556N, 1689W,  60,  969, EX,
CP, 01, 2006090806,   , MIWU, 0, 558N, 1632W,  55,  972, EX,
CP, 01, 2006090812,   , MIWU, 0, 564N, 1579W,  50,  975, EX,
CP, 01, 2006090818,   , MIWU, 0, 572N, 1552W,  50,  976, EX,
CP, 01, 2006090900,   , MIWU, 0, 578N, 1539W,  45,  979, EX,
CP, 01, 2006090906,   , MIWU, 0, 585N, 1534W,  40,  982, EX,
CP, 01, 2006090912,   , MIWU, 0, 592N, 1536W,  30,  990, EX,
CP, 01, 2006090918,   , MIWU, 0, 600N, 1535W,  20,  998, EX,
