SH, 25, 2022050506,   , MIWU, 0,  50S,  879E,  20, 1006, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Karim,
SH, 25, 2022050512,   , MIWU, 0,  51S,  875E,  20, 1004, DB,
SH, 25, 2022050518,   , MIWU, 0,  52S,  873E,  20, 1004, DB,
SH, 25, 2022050600,   , MIWU, 0,  54S,  874E,  20, 1004, DB,
SH, 25, 2022050606,   , MIWU, 0,  57S,  876E,  25, 1003, TD,
SH, 25, 2022050612,   , MIWU, 0,  62S,  880E,  35,  996, TS,
SH, 25, 2022050618,   , MIWU, 0,  68S,  885E,  40,  993, TS,
SH, 25, 2022050700,   , MIWU, 0,  74S,  892E,  45,  990, TS,
SH, 25, 2022050706,   , MIWU, 0,  78S,  898E,  45,  990, TS,
SH, 25, 2022050712,   , MIWU, 0,  84S,  900E,  45,  989, TS,
SH, 25, 2022050718,   , MIWU, 0,  89S,  901E,  50,  986, TS,
SH, 25, 2022050800,   , MIWU, 0,  95S,  902E,  55,  983, TS,
SH, 25, 2022050806,   , MIWU, 0, 102S,  901E,  65,  977, TY,
SH, 25, 2022050812,   , MIWU, 0, 109S,  901E,  70,  974, TY,
SH, 25, 2022050818,   , MIWU, 0, 115S,  902E,  70,  974, TY,
SH, 25, 2022050900,   , MIWU, 0, 121S,  904E,  70,  974, TY,
SH, 25, 2022050906,   , MIWU, 0, 127S,  906E,  70,  975, TY,
SH, 25, 2022050912,   , MIWU, 0, 134S,  908E,  70,  975, TY,
SH, 25, 2022050918,   , MIWU, 0, 141S,  911E,  70,  975, TY,
SH, 25, 2022051000,   , MIWU, 0, 150S,  915E,  65,  977, TY,
SH, 25, 2022051006,   , MIWU, 0, 162S,  920E,  65,  978, TY,
SH, 25, 2022051012,   , MIWU, 0, 174S,  926E,  60,  981, TS,
SH, 25, 2022051018,   , MIWU, 0, 182S,  934E,  55,  984, TS,
SH, 25, 2022051100,   , MIWU, 0, 189S,  943E,  45,  990, TS,
SH, 25, 2022051106,   , MIWU, 0, 192S,  953E,  40,  993, LO,
SH, 25, 2022051112,   , MIWU, 0, 191S,  966E,  35,  996, LO,
SH, 25, 2022051118,   , MIWU, 0, 187S,  983E,  30,  999, LO,
SH, 25, 2022051200,   , MIWU, 0, 182S,  996E,  20, 1005, LO,
