SH, 07, 2022011918,   , MIWU, 0, 126S,  590E,  20, 1007, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ana,
SH, 07, 2022012000,   , MIWU, 0, 130S,  588E,  20, 1007, DB,
SH, 07, 2022012006,   , MIWU, 0, 136S,  585E,  20, 1006, DB,
SH, 07, 2022012012,   , MIWU, 0, 142S,  582E,  25, 1004, TD,
SH, 07, 2022012018,   , MIWU, 0, 147S,  580E,  35, 1000, TS,
SH, 07, 2022012100,   , MIWU, 0, 152S,  577E,  35, 1000, TS,
SH, 07, 2022012106,   , MIWU, 0, 157S,  571E,  30, 1002, TD,
SH, 07, 2022012112,   , MIWU, 0, 163S,  558E,  25, 1004, TD,
SH, 07, 2022012118,   , MIWU, 0, 169S,  544E,  25, 1005, TD,
SH, 07, 2022012200,   , MIWU, 0, 173S,  526E,  30, 1003, TD,
SH, 07, 2022012206,   , MIWU, 0, 177S,  503E,  35, 1001, TS,
SH, 07, 2022012212,   , MIWU, 0, 176S,  486E,  35, 1002, TS,
SH, 07, 2022012218,   , MIWU, 0, 173S,  471E,  30, 1004, TD,
SH, 07, 2022012300,   , MIWU, 0, 169S,  460E,  30, 1004, TD,
SH, 07, 2022012306,   , MIWU, 0, 164S,  451E,  30, 1003, TD,
SH, 07, 2022012312,   , MIWU, 0, 161S,  443E,  35, 1001, TS,
SH, 07, 2022012318,   , MIWU, 0, 160S,  432E,  40,  999, TS,
SH, 07, 2022012400,   , MIWU, 0, 161S,  420E,  60,  991, TS,
SH, 07, 2022012406,   , MIWU, 0, 162S,  405E,  60,  992, TS,
SH, 07, 2022012412,   , MIWU, 0, 164S,  388E,  50,  996, TS,
SH, 07, 2022012418,   , MIWU, 0, 166S,  370E,  40, 1000, TS,
SH, 07, 2022012500,   , MIWU, 0, 166S,  350E,  30, 1004, TD,
SH, 07, 2022012506,   , MIWU, 0, 165S,  336E,  20, 1008, DB,
SH, 07, 2022012512,   , MIWU, 0, 166S,  324E,  15, 1010, DB,
SH, 07, 2022012518,   , MIWU, 0, 168S,  314E,  15, 1011, DB,
SH, 07, 2022012600,   , MIWU, 0, 172S,  305E,  15, 1011, DB,
