SH, 10, 2022020206,   , MIWU, 0, 182S,  801E,  20, 1004, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Cliff,
SH, 10, 2022020212,   , MIWU, 0, 178S,  804E,  20, 1004, DB,
SH, 10, 2022020218,   , MIWU, 0, 174S,  811E,  20, 1003, DB,
SH, 10, 2022020300,   , MIWU, 0, 169S,  820E,  20, 1003, DB,
SH, 10, 2022020306,   , MIWU, 0, 165S,  828E,  25, 1001, TD,
SH, 10, 2022020312,   , MIWU, 0, 164S,  834E,  30,  999, TD,
SH, 10, 2022020318,   , MIWU, 0, 167S,  838E,  35,  996, TS,
SH, 10, 2022020400,   , MIWU, 0, 173S,  840E,  40,  993, TS,
SH, 10, 2022020406,   , MIWU, 0, 180S,  840E,  45,  990, TS,
SH, 10, 2022020412,   , MIWU, 0, 184S,  840E,  45,  990, TS,
SH, 10, 2022020418,   , MIWU, 0, 186S,  841E,  45,  990, TS,
SH, 10, 2022020500,   , MIWU, 0, 190S,  839E,  45,  990, TS,
SH, 10, 2022020506,   , MIWU, 0, 195S,  836E,  40,  992, TS,
SH, 10, 2022020512,   , MIWU, 0, 201S,  832E,  40,  992, TS,
SH, 10, 2022020518,   , MIWU, 0, 210S,  827E,  40,  991, TS,
SH, 10, 2022020600,   , MIWU, 0, 218S,  819E,  40,  991, TS,
SH, 10, 2022020606,   , MIWU, 0, 225S,  806E,  40,  991, TS,
SH, 10, 2022020612,   , MIWU, 0, 226S,  794E,  35,  993, LO,
SH, 10, 2022020618,   , MIWU, 0, 229S,  782E,  35,  994, LO,
SH, 10, 2022020700,   , MIWU, 0, 236S,  770E,  30,  996, LO,
SH, 10, 2022020706,   , MIWU, 0, 240S,  759E,  30,  996, LO,
SH, 10, 2022020712,   , MIWU, 0, 245S,  747E,  30,  996, LO,
SH, 10, 2022020718,   , MIWU, 0, 249S,  736E,  35,  994, LO,
SH, 10, 2022020800,   , MIWU, 0, 248S,  728E,  35,  993, LO,
SH, 10, 2022020806,   , MIWU, 0, 246S,  720E,  30,  995, LO,
SH, 10, 2022020812,   , MIWU, 0, 244S,  711E,  30,  995, LO,
SH, 10, 2022020818,   , MIWU, 0, 245S,  703E,  25,  997, LO,
SH, 10, 2022020900,   , MIWU, 0, 247S,  697E,  25,  997, LO,
SH, 10, 2022020906,   , MIWU, 0, 248S,  692E,  25,  998, LO,
SH, 10, 2022020912,   , MIWU, 0, 247S,  683E,  20, 1000, LO,
SH, 10, 2022020918,   , MIWU, 0, 245S,  673E,  20, 1000, LO,
SH, 10, 2022021000,   , MIWU, 0, 242S,  660E,  20, 1000, LO,
SH, 10, 2022021006,   , MIWU, 0, 238S,  644E,  15, 1002, LO,
SH, 10, 2022021012,   , MIWU, 0, 234S,  629E,  15, 1002, LO,
SH, 10, 2022021018,   , MIWU, 0, 231S,  612E,  15, 1003, LO,
SH, 10, 2022021100,   , MIWU, 0, 229S,  600E,  15, 1003, LO,
SH, 10, 2022021106,   , MIWU, 0, 228S,  589E,  15, 1003, LO,
SH, 10, 2022021112,   , MIWU, 0, 227S,  580E,  15, 1003, LO,
SH, 10, 2022021118,   , MIWU, 0, 225S,  570E,  15, 1003, LO,
SH, 10, 2022021200,   , MIWU, 0, 223S,  558E,  15, 1004, LO,
SH, 10, 2022021206,   , MIWU, 0, 220S,  543E,  15, 1004, LO,
SH, 10, 2022021212,   , MIWU, 0, 217S,  529E,  15, 1004, LO,
SH, 10, 2022021218,   , MIWU, 0, 211S,  514E,  15, 1004, LO,
SH, 10, 2022021300,   , MIWU, 0, 203S,  501E,  15, 1004, LO,
SH, 10, 2022021306,   , MIWU, 0, 197S,  488E,  15, 1004, LO,
