SH, 06, 2022122012,   , MIWU, 0,  95S, 1280E,  15, 1006, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ellie,
SH, 06, 2022122018,   , MIWU, 0, 100S, 1281E,  15, 1005, DB,
SH, 06, 2022122100,   , MIWU, 0, 104S, 1280E,  20, 1003, DB,
SH, 06, 2022122106,   , MIWU, 0, 107S, 1279E,  25, 1001, TD,
SH, 06, 2022122112,   , MIWU, 0, 110S, 1281E,  30,  999, TD,
SH, 06, 2022122118,   , MIWU, 0, 114S, 1285E,  35,  997, TS,
SH, 06, 2022122200,   , MIWU, 0, 120S, 1289E,  40,  995, TS,
SH, 06, 2022122206,   , MIWU, 0, 126S, 1292E,  50,  991, TS,
SH, 06, 2022122212,   , MIWU, 0, 134S, 1296E,  55,  989, TS,
SH, 06, 2022122218,   , MIWU, 0, 142S, 1300E,  55,  990, TS,
SH, 06, 2022122300,   , MIWU, 0, 152S, 1303E,  45,  994, TS,
SH, 06, 2022122306,   , MIWU, 0, 160S, 1305E,  30, 1000, TD,
SH, 06, 2022122312,   , MIWU, 0, 165S, 1308E,  25, 1002, TD,
SH, 06, 2022122318,   , MIWU, 0, 171S, 1312E,  25, 1003, TD,
SH, 06, 2022122400,   , MIWU, 0, 176S, 1315E,  25, 1003, TD,
SH, 06, 2022122406,   , MIWU, 0, 180S, 1316E,  20, 1005, DB,
SH, 06, 2022122412,   , MIWU, 0, 185S, 1317E,  20, 1004, DB,
SH, 06, 2022122418,   , MIWU, 0, 190S, 1318E,  25, 1002, TD,
SH, 06, 2022122500,   , MIWU, 0, 196S, 1320E,  25, 1002, TD,
SH, 06, 2022122506,   , MIWU, 0, 202S, 1324E,  25, 1003, TD,
SH, 06, 2022122512,   , MIWU, 0, 207S, 1330E,  20, 1005, DB,
SH, 06, 2022122518,   , MIWU, 0, 210S, 1340E,  20, 1005, DB,
SH, 06, 2022122600,   , MIWU, 0, 211S, 1348E,  20, 1005, DB,
SH, 06, 2022122606,   , MIWU, 0, 213S, 1352E,  20, 1004, DB,
SH, 06, 2022122612,   , MIWU, 0, 214S, 1355E,  20, 1004, DB,
SH, 06, 2022122618,   , MIWU, 0, 215S, 1354E,  20, 1004, DB,
SH, 06, 2022122700,   , MIWU, 0, 214S, 1352E,  20, 1004, DB,
SH, 06, 2022122706,   , MIWU, 0, 212S, 1348E,  20, 1004, DB,
SH, 06, 2022122712,   , MIWU, 0, 208S, 1343E,  15, 1006, DB,
SH, 06, 2022122718,   , MIWU, 0, 201S, 1336E,  15, 1005, DB,
SH, 06, 2022122800,   , MIWU, 0, 193S, 1330E,  20, 1003, DB,
SH, 06, 2022122806,   , MIWU, 0, 190S, 1320E,  20, 1002, DB,
SH, 06, 2022122812,   , MIWU, 0, 186S, 1309E,  20, 1002, DB,
SH, 06, 2022122818,   , MIWU, 0, 183S, 1295E,  20, 1002, DB,
SH, 06, 2022122900,   , MIWU, 0, 181S, 1282E,  20, 1002, DB,
SH, 06, 2022122906,   , MIWU, 0, 180S, 1270E,  20, 1001, DB,
SH, 06, 2022122912,   , MIWU, 0, 178S, 1261E,  20, 1001, DB,
SH, 06, 2022122918,   , MIWU, 0, 174S, 1258E,  20, 1000, DB,
SH, 06, 2022123000,   , MIWU, 0, 168S, 1257E,  15, 1002, DB,
SH, 06, 2022123006,   , MIWU, 0, 164S, 1258E,  15, 1003, DB,
SH, 06, 2022123012,   , MIWU, 0, 162S, 1260E,  15, 1003, DB,
