SH, 18, 2023040518,   , MIWU, 0,  72S, 1338E,  15, 1005, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ilsa,
SH, 18, 2023040600,   , MIWU, 0,  75S, 1330E,  20, 1003, DB,
SH, 18, 2023040606,   , MIWU, 0,  80S, 1321E,  20, 1002, DB,
SH, 18, 2023040612,   , MIWU, 0,  85S, 1316E,  20, 1002, DB,
SH, 18, 2023040618,   , MIWU, 0,  87S, 1312E,  25, 1000, TD,
SH, 18, 2023040700,   , MIWU, 0,  88S, 1309E,  25, 1000, TD,
SH, 18, 2023040706,   , MIWU, 0,  89S, 1306E,  25, 1000, TD,
SH, 18, 2023040712,   , MIWU, 0,  90S, 1305E,  30,  998, TD,
SH, 18, 2023040718,   , MIWU, 0,  93S, 1302E,  35,  996, TS,
SH, 18, 2023040800,   , MIWU, 0,  96S, 1296E,  35,  995, TS,
SH, 18, 2023040806,   , MIWU, 0,  98S, 1291E,  35,  995, TS,
SH, 18, 2023040812,   , MIWU, 0, 102S, 1288E,  40,  993, TS,
SH, 18, 2023040818,   , MIWU, 0, 110S, 1283E,  40,  992, TS,
SH, 18, 2023040900,   , MIWU, 0, 118S, 1272E,  40,  992, TS,
SH, 18, 2023040906,   , MIWU, 0, 123S, 1260E,  35,  994, TS,
SH, 18, 2023040912,   , MIWU, 0, 126S, 1252E,  30,  996, TD,
SH, 18, 2023040918,   , MIWU, 0, 128S, 1245E,  30,  995, TD,
SH, 18, 2023041000,   , MIWU, 0, 129S, 1237E,  35,  993, TS,
SH, 18, 2023041006,   , MIWU, 0, 131S, 1230E,  40,  991, TS,
SH, 18, 2023041012,   , MIWU, 0, 134S, 1224E,  45,  989, TS,
SH, 18, 2023041018,   , MIWU, 0, 138S, 1221E,  50,  987, TS,
SH, 18, 2023041100,   , MIWU, 0, 141S, 1216E,  50,  986, TS,
SH, 18, 2023041106,   , MIWU, 0, 145S, 1212E,  55,  983, TS,
SH, 18, 2023041112,   , MIWU, 0, 150S, 1208E,  70,  974, TY,
SH, 18, 2023041118,   , MIWU, 0, 155S, 1202E,  80,  966, TY,
SH, 18, 2023041200,   , MIWU, 0, 158S, 1198E,  85,  961, TY,
SH, 18, 2023041206,   , MIWU, 0, 161S, 1197E,  95,  951, TY,
SH, 18, 2023041212,   , MIWU, 0, 165S, 1195E, 105,  941, TY,
SH, 18, 2023041218,   , MIWU, 0, 171S, 1192E, 110,  936, TY,
SH, 18, 2023041300,   , MIWU, 0, 178S, 1189E, 125,  926, TY,
SH, 18, 2023041306,   , MIWU, 0, 186S, 1186E, 140,  917, ST,
SH, 18, 2023041309,   , MIWU, 0, 192S, 1187E, 145,  915, ST,
SH, 18, 2023041312,   , MIWU, 0, 196S, 1190E, 140,  918, ST,
SH, 18, 2023041315, 30, MIWU, 0, 200S, 1194E, 135,  922, ST,
SH, 18, 2023041318,   , MIWU, 0, 205S, 1200E, 120,  940, TY,
SH, 18, 2023041400,   , MIWU, 0, 215S, 1214E,  95,  958, TY,
SH, 18, 2023041406,   , MIWU, 0, 220S, 1233E,  60,  980, TS,
SH, 18, 2023041412,   , MIWU, 0, 223S, 1254E,  40,  990, TS,
SH, 18, 2023041418,   , MIWU, 0, 222S, 1278E,  30,  994, TD,
SH, 18, 2023041500,   , MIWU, 0, 223S, 1303E,  25,  996, TD,
SH, 18, 2023041506,   , MIWU, 0, 224S, 1329E,  20,  998, DB,
SH, 18, 2023041512,   , MIWU, 0, 222S, 1349E,  15, 1000, DB,
SH, 18, 2023041518,   , MIWU, 0, 217S, 1360E,  15, 1001, DB,
