SH, 16, 2023022706,   , MIWU, 0, 140S, 1488E,  15, 1007, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kevin,
SH, 16, 2023022712,   , MIWU, 0, 135S, 1500E,  20, 1005, DB,
SH, 16, 2023022718,   , MIWU, 0, 130S, 1515E,  25, 1003, TD,
SH, 16, 2023022800,   , MIWU, 0, 125S, 1530E,  25, 1003, TD,
SH, 16, 2023022806,   , MIWU, 0, 123S, 1544E,  25, 1002, TD,
SH, 16, 2023022812,   , MIWU, 0, 122S, 1561E,  30, 1000, TD,
SH, 16, 2023022818,   , MIWU, 0, 122S, 1578E,  30,  999, TD,
SH, 16, 2023030100,   , MIWU, 0, 124S, 1597E,  30,  999, TD,
SH, 16, 2023030106,   , MIWU, 0, 128S, 1606E,  30,  998, TD,
SH, 16, 2023030112,   , MIWU, 0, 133S, 1615E,  35,  996, TS,
SH, 16, 2023030118,   , MIWU, 0, 138S, 1624E,  40,  993, TS,
SH, 16, 2023030200,   , MIWU, 0, 141S, 1632E,  50,  987, TS,
SH, 16, 2023030206,   , MIWU, 0, 147S, 1637E,  55,  984, TS,
SH, 16, 2023030212,   , MIWU, 0, 155S, 1645E,  60,  980, TS,
SH, 16, 2023030218,   , MIWU, 0, 163S, 1656E,  70,  972, TY,
SH, 16, 2023030300,   , MIWU, 0, 170S, 1665E,  75,  968, TY,
SH, 16, 2023030306,   , MIWU, 0, 177S, 1676E,  85,  958, TY,
SH, 16, 2023030312,   , MIWU, 0, 186S, 1687E,  90,  953, TY,
SH, 16, 2023030318,   , MIWU, 0, 196S, 1698E, 110,  933, TY,
SH, 16, 2023030400,   , MIWU, 0, 209S, 1714E, 135,  910, ST,
SH, 16, 2023030406,   , MIWU, 0, 222S, 1733E, 135,  910, ST,
SH, 16, 2023030412,   , MIWU, 0, 234S, 1755E, 115,  917, TY,
SH, 16, 2023030418,   , MIWU, 0, 246S, 1779E, 100,  928, TY,
SH, 16, 2023030500,   , MIWU, 0, 259S, 1799W,  85,  940, TY,
SH, 16, 2023030506,   , MIWU, 0, 268S, 1772W,  70,  952, TY,
SH, 16, 2023030512,   , MIWU, 0, 278S, 1742W,  60,  960, TS,
SH, 16, 2023030518,   , MIWU, 0, 289S, 1717W,  55,  964, TS,
SH, 16, 2023030600,   , MIWU, 0, 295S, 1696W,  50,  967, SS,
SH, 16, 2023030606,   , MIWU, 0, 304S, 1671W,  50,  967, SS,
SH, 16, 2023030612,   , MIWU, 0, 316S, 1651W,  50,  968, SS,
SH, 16, 2023030618,   , MIWU, 0, 328S, 1632W,  50,  968, SS,
SH, 16, 2023030700,   , MIWU, 0, 350S, 1624W,  55,  965, EX,
SH, 16, 2023030706,   , MIWU, 0, 364S, 1620W,  55,  964, EX,
SH, 16, 2023030712,   , MIWU, 0, 379S, 1617W,  60,  961, EX,
SH, 16, 2023030718,   , MIWU, 0, 390S, 1625W,  65,  957, EX,
SH, 16, 2023030800,   , MIWU, 0, 395S, 1630W,  75,  949, EX,
SH, 16, 2023030806,   , MIWU, 0, 397S, 1623W,  70,  951, EX,
SH, 16, 2023030812,   , MIWU, 0, 399S, 1613W,  70,  952, EX,
SH, 16, 2023030818,   , MIWU, 0, 404S, 1604W,  65,  955, EX,
SH, 16, 2023030900,   , MIWU, 0, 412S, 1595W,  65,  956, EX,
SH, 16, 2023030906,   , MIWU, 0, 423S, 1587W,  60,  959, EX,
SH, 16, 2023030912,   , MIWU, 0, 435S, 1580W,  60,  960, EX,
SH, 16, 2023030918,   , MIWU, 0, 441S, 1574W,  60,  961, EX,
SH, 16, 2023031000,   , MIWU, 0, 444S, 1564W,  55,  964, EX,
SH, 16, 2023031006,   , MIWU, 0, 446S, 1552W,  50,  968, EX,
SH, 16, 2023031012,   , MIWU, 0, 447S, 1538W,  45,  972, EX,
SH, 16, 2023031018,   , MIWU, 0, 449S, 1516W,  45,  974, EX,
SH, 16, 2023031100,   , MIWU, 0, 452S, 1492W,  40,  978, EX,
SH, 16, 2023031106,   , MIWU, 0, 458S, 1470W,  40,  980, EX,
SH, 16, 2023031112,   , MIWU, 0, 464S, 1452W,  35,  984, EX,
SH, 16, 2023031118,   , MIWU, 0, 468S, 1433W,  30,  988, EX,
SH, 16, 2023031200,   , MIWU, 0, 470S, 1408W,  30,  990, EX,
SH, 16, 2023031206,   , MIWU, 0, 469S, 1387W,  25,  993, EX,
SH, 16, 2023031212,   , MIWU, 0, 471S, 1370W,  25,  994, EX,
SH, 16, 2023031218,   , MIWU, 0, 474S, 1356W,  20,  997, EX,
SH, 16, 2023031300,   , MIWU, 0, 480S, 1344W,  20,  998, EX,
SH, 16, 2023031306,   , MIWU, 0, 488S, 1335W,  20,  998, EX,
SH, 16, 2023031312,   , MIWU, 0, 496S, 1329W,  20,  999, EX,
