SH, 70, 2022111512,   , MIWU, 0,  58S,  991E,  20, 1005, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Unnamed-01,
SH, 70, 2022111518,   , MIWU, 0,  56S,  995E,  20, 1005, DB,
SH, 70, 2022111600,   , MIWU, 0,  57S,  999E,  25, 1003, TD,
SH, 70, 2022111606,   , MIWU, 0,  60S, 1003E,  30, 1001, TD,
SH, 70, 2022111612,   , MIWU, 0,  66S, 1007E,  35,  999, TS,
SH, 70, 2022111618,   , MIWU, 0,  76S, 1014E,  35, 1000, TS,
SH, 70, 2022111700,   , MIWU, 0,  86S, 1022E,  40,  998, TS,
SH, 70, 2022111706,   , MIWU, 0,  94S, 1030E,  40,  998, TS,
SH, 70, 2022111712,   , MIWU, 0, 101S, 1038E,  40,  997, TS,
SH, 70, 2022111718,   , MIWU, 0, 105S, 1046E,  35,  999, TS,
SH, 70, 2022111800,   , MIWU, 0, 108S, 1053E,  35, 1000, TS,
SH, 70, 2022111806,   , MIWU, 0, 111S, 1061E,  30, 1002, TD,
SH, 70, 2022111812,   , MIWU, 0, 113S, 1067E,  30, 1002, TD,
SH, 70, 2022111818,   , MIWU, 0, 112S, 1071E,  25, 1004, TD,
SH, 70, 2022111900,   , MIWU, 0, 111S, 1075E,  25, 1005, TD,
SH, 70, 2022111906,   , MIWU, 0, 110S, 1080E,  20, 1007, DB,
SH, 70, 2022111912,   , MIWU, 0, 110S, 1085E,  20, 1008, DB,
SH, 70, 2022111918,   , MIWU, 0, 110S, 1091E,  20, 1008, DB,
SH, 70, 2022112000,   , MIWU, 0, 110S, 1097E,  30, 1004, TD,
SH, 70, 2022112006,   , MIWU, 0, 111S, 1103E,  35, 1002, TS,
SH, 70, 2022112012,   , MIWU, 0, 111S, 1107E,  35, 1001, TS,
SH, 70, 2022112018,   , MIWU, 0, 110S, 1110E,  40,  999, TS,
SH, 70, 2022112100,   , MIWU, 0, 110S, 1114E,  40,  998, TS,
SH, 70, 2022112106,   , MIWU, 0, 111S, 1120E,  35, 1000, TS,
SH, 70, 2022112112,   , MIWU, 0, 113S, 1126E,  30, 1002, TD,
SH, 70, 2022112118,   , MIWU, 0, 116S, 1132E,  30, 1002, TD,
SH, 70, 2022112200,   , MIWU, 0, 118S, 1138E,  30, 1001, TD,
SH, 70, 2022112206,   , MIWU, 0, 120S, 1143E,  30, 1001, TD,
SH, 70, 2022112212,   , MIWU, 0, 123S, 1148E,  25, 1003, TD,
SH, 70, 2022112218,   , MIWU, 0, 127S, 1156E,  20, 1005, DB,
SH, 70, 2022112300,   , MIWU, 0, 131S, 1163E,  20, 1005, DB,
SH, 70, 2022112306,   , MIWU, 0, 135S, 1165E,  20, 1006, DB,
SH, 70, 2022112312,   , MIWU, 0, 138S, 1166E,  20, 1006, DB,
SH, 70, 2022112318,   , MIWU, 0, 137S, 1168E,  15, 1008, DB,
SH, 70, 2022112400,   , MIWU, 0, 137S, 1170E,  15, 1008, DB,
SH, 70, 2022112406,   , MIWU, 0, 137S, 1172E,  15, 1008, DB,
SH, 70, 2022112412,   , MIWU, 0, 138S, 1174E,  15, 1007, DB,
SH, 70, 2022112418,   , MIWU, 0, 140S, 1174E,  15, 1007, DB,
SH, 70, 2022112500,   , MIWU, 0, 143S, 1173E,  15, 1007, DB,
SH, 70, 2022112506,   , MIWU, 0, 147S, 1171E,  15, 1007, DB,
